"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Age_imp","has_cabin","age_label","ticket_range","Embarked_value","has_sibsp","has_Parch","has_family"
7,0,"1","male",54,0,0,51.8625,"E46","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
24,1,"1","male",28,0,0,35.5,"A6","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
28,0,"1","male",19,3,2,263,"C23 C25 C27","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
31,0,"1","male",40,0,0,27.7208,"","C",FALSE,"Sin cabina","adult","2","1","alone","alone","alone"
35,0,"1","male",28,1,0,82.1708,"","C",FALSE,"Sin cabina","adult","3","1","sibs","alone","family"
36,0,"1","male",42,1,0,52,"","S",FALSE,"Sin cabina","adult","2","3","sibs","alone","family"
55,0,"1","male",65,0,1,61.9792,"B30","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
56,1,"1","male",36,0,0,35.5,"C52","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
63,0,"1","male",45,1,0,83.475,"C83","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
65,0,"1","male",42,0,0,27.7208,"","C",TRUE,"Sin cabina","adult","2","1","alone","alone","alone"
84,0,"1","male",28,0,0,47.1,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
93,0,"1","male",46,1,0,61.175,"E31","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
97,0,"1","male",71,0,0,34.6542,"A5","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
98,1,"1","male",23,0,1,63.3583,"D10 D12","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
103,0,"1","male",21,0,1,77.2875,"D26","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
111,0,"1","male",47,0,0,52,"C110","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
119,0,"1","male",24,0,1,247.5208,"B58 B60","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
125,0,"1","male",54,0,1,77.2875,"D26","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
138,0,"1","male",37,1,0,53.1,"C123","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
140,0,"1","male",24,0,0,79.2,"B86","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
156,0,"1","male",51,0,1,61.3792,"","C",FALSE,"Sin cabina","adult","2","1","alone","parch","family"
169,0,"1","male",51,0,0,25.925,"","S",TRUE,"Sin cabina","adult","2","3","alone","alone","alone"
171,0,"1","male",61,0,0,33.5,"B19","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
175,0,"1","male",56,0,0,30.6958,"A7","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
186,0,"1","male",47,0,0,50,"A32","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
188,1,"1","male",45,0,0,26.55,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
210,1,"1","male",40,0,0,31,"A31","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
225,1,"1","male",38,1,0,90,"C93","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
246,0,"1","male",44,2,0,90,"C78","Q",FALSE,"Con cabina","adult","3","2","sibs","alone","family"
249,1,"1","male",37,1,1,52.5542,"D35","S",FALSE,"Con cabina","adult","2","3","sibs","parch","family"
253,0,"1","male",62,0,0,26.55,"C87","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
263,0,"1","male",52,1,1,79.65,"E67","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
264,0,"1","male",40,0,0,0,"B94","S",FALSE,"Con cabina","adult","1","3","alone","alone","alone"
271,0,"1","male",51,0,0,31,"","S",TRUE,"Sin cabina","adult","2","3","alone","alone","alone"
274,0,"1","male",37,0,1,29.7,"C118","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
285,0,"1","male",47,0,0,26,"A19","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
296,0,"1","male",51,0,0,27.7208,"","C",TRUE,"Sin cabina","adult","2","1","alone","alone","alone"
299,1,"1","male",36,0,0,30.5,"C106","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
306,1,"1","male",0.92,1,2,151.55,"C22 C26","S",FALSE,"Con cabina","kid","3","3","sibs","parch","family"
332,0,"1","male",45.5,0,0,28.5,"C124","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
333,0,"1","male",38,0,1,153.4625,"C91","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
337,0,"1","male",29,1,0,66.6,"C2","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
340,0,"1","male",45,0,0,35.5,"T","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
352,0,"1","male",47,0,0,35,"C128","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
371,1,"1","male",25,1,0,55.4417,"E50","C",FALSE,"Con cabina","adult","2","1","sibs","alone","family"
374,0,"1","male",22,0,0,135.6333,"","C",FALSE,"Sin cabina","adult","3","1","alone","alone","alone"
378,0,"1","male",27,0,2,211.5,"C82","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
391,1,"1","male",36,1,2,120,"B96 B98","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
431,1,"1","male",28,0,0,26.55,"C52","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
435,0,"1","male",50,1,0,55.9,"E44","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
439,0,"1","male",64,1,4,263,"C23 C25 C27","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
446,1,"1","male",4,0,2,81.8583,"A34","S",FALSE,"Con cabina","kid","3","3","alone","parch","family"
448,1,"1","male",34,0,0,26.55,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
450,1,"1","male",52,0,0,30.5,"C104","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
453,0,"1","male",30,0,0,27.75,"C111","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
454,1,"1","male",49,1,0,89.1042,"C92","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
457,0,"1","male",65,0,0,26.55,"E38","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
461,1,"1","male",48,0,0,26.55,"E12","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
463,0,"1","male",47,0,0,38.5,"E63","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
468,0,"1","male",56,0,0,26.55,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
476,0,"1","male",55,0,0,52,"A14","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
485,1,"1","male",25,1,0,91.0792,"B49","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
488,0,"1","male",58,0,0,29.7,"B37","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
493,0,"1","male",55,0,0,30.5,"C30","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
494,0,"1","male",71,0,0,49.5042,"","C",FALSE,"Sin cabina","adult","2","1","alone","alone","alone"
506,0,"1","male",18,1,0,108.9,"C65","C",FALSE,"Con cabina","teenager","3","1","sibs","alone","family"
508,1,"1","male",48,0,0,26.55,"","S",TRUE,"Sin cabina","adult","2","3","alone","alone","alone"
513,1,"1","male",36,0,0,26.2875,"E25","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
516,0,"1","male",47,0,0,34.0208,"D46","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
528,0,"1","male",47,0,0,221.7792,"C95","S",TRUE,"Con cabina","adult","3","3","alone","alone","alone"
537,0,"1","male",45,0,0,26.55,"B38","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
545,0,"1","male",50,1,0,106.425,"C86","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
546,0,"1","male",64,0,0,26,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
551,1,"1","male",17,0,2,110.8833,"C70","C",FALSE,"Con cabina","teenager","3","1","alone","parch","family"
556,0,"1","male",62,0,0,26.55,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
558,0,"1","male",51,0,0,227.525,"","C",TRUE,"Sin cabina","adult","3","1","alone","alone","alone"
573,1,"1","male",36,0,0,26.3875,"E25","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
584,0,"1","male",36,0,0,40.125,"A10","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
588,1,"1","male",60,1,1,79.2,"B41","C",FALSE,"Con cabina","adult","3","1","sibs","parch","family"
600,1,"1","male",49,1,0,56.9292,"A20","C",FALSE,"Con cabina","adult","2","1","sibs","alone","family"
603,0,"1","male",51,0,0,42.4,"","S",TRUE,"Sin cabina","adult","2","3","alone","alone","alone"
605,1,"1","male",35,0,0,26.55,"","C",FALSE,"Sin cabina","adult","2","1","alone","alone","alone"
608,1,"1","male",27,0,0,30.5,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
622,1,"1","male",42,1,0,52.5542,"D19","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
626,0,"1","male",61,0,0,32.3208,"D50","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
631,1,"1","male",80,0,0,30,"A23","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
633,1,"1","male",32,0,0,30.5,"B50","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
634,0,"1","male",56,0,0,0,"","S",TRUE,"Sin cabina","adult","1","3","alone","alone","alone"
646,1,"1","male",48,1,0,76.7292,"D33","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
648,1,"1","male",56,0,0,35.5,"A26","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
660,0,"1","male",58,0,2,113.275,"D48","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
661,1,"1","male",50,2,0,133.65,"","S",FALSE,"Sin cabina","adult","3","3","sibs","alone","family"
663,0,"1","male",47,0,0,25.5875,"E58","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
672,0,"1","male",31,1,0,52,"B71","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
680,1,"1","male",36,0,1,512.3292,"B51 B53 B55","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
682,1,"1","male",27,0,0,76.7292,"D49","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
691,1,"1","male",31,1,0,57,"B20","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
695,0,"1","male",60,0,0,26.55,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
699,0,"1","male",49,1,1,110.8833,"C68","C",FALSE,"Con cabina","adult","3","1","sibs","parch","family"
702,1,"1","male",35,0,0,26.2875,"E24","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
708,1,"1","male",42,0,0,26.2875,"E24","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
712,0,"1","male",46,0,0,26.55,"C124","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
713,1,"1","male",48,1,0,52,"C126","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
725,1,"1","male",27,1,0,53.1,"E8","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
738,1,"1","male",35,0,0,512.3292,"B101","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
741,1,"1","male",35,0,0,30,"D45","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
742,0,"1","male",36,1,0,78.85,"C46","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
746,0,"1","male",70,1,1,71,"B22","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
749,0,"1","male",19,1,0,53.1,"D30","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
767,0,"1","male",40,0,0,39.6,"","C",TRUE,"Sin cabina","adult","2","1","alone","alone","alone"
783,0,"1","male",29,0,0,30,"D6","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
790,0,"1","male",46,0,0,79.2,"B82 B84","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
794,0,"1","male",46,0,0,30.6958,"","C",TRUE,"Sin cabina","adult","2","1","alone","alone","alone"
803,1,"1","male",11,1,2,120,"B96 B98","S",FALSE,"Con cabina","teenager","3","3","sibs","parch","family"
807,0,"1","male",39,0,0,0,"A36","S",FALSE,"Con cabina","adult","1","3","alone","alone","alone"
816,0,"1","male",39,0,0,0,"B102","S",TRUE,"Con cabina","adult","1","3","alone","alone","alone"
823,0,"1","male",38,0,0,0,"","S",FALSE,"Sin cabina","adult","1","3","alone","alone","alone"
840,1,"1","male",35,0,0,29.7,"C47","C",TRUE,"Con cabina","adult","2","1","alone","alone","alone"
858,1,"1","male",51,0,0,26.55,"E17","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
868,0,"1","male",31,0,0,50.4958,"A24","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
873,0,"1","male",33,0,0,5,"B51 B53 B55","S",FALSE,"Con cabina","adult","1","3","alone","alone","alone"
890,1,"1","male",26,0,0,30,"C148","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
2,1,"1","female",38,1,0,71.2833,"C85","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
4,1,"1","female",35,1,0,53.1,"C123","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
12,1,"1","female",58,0,0,26.55,"C103","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
32,1,"1","female",35,1,0,146.5208,"B78","C",TRUE,"Con cabina","adult","3","1","sibs","alone","family"
53,1,"1","female",49,1,0,76.7292,"D33","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
89,1,"1","female",23,3,2,263,"C23 C25 C27","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
137,1,"1","female",19,0,2,26.2833,"D47","S",FALSE,"Con cabina","adult","2","3","alone","parch","family"
152,1,"1","female",22,1,0,66.6,"C2","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
167,1,"1","female",32,0,1,55,"E33","S",TRUE,"Con cabina","adult","2","3","alone","parch","family"
178,0,"1","female",50,0,0,28.7125,"C49","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
195,1,"1","female",44,0,0,27.7208,"B4","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
196,1,"1","female",58,0,0,146.5208,"B80","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
216,1,"1","female",31,1,0,113.275,"D36","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
219,1,"1","female",32,0,0,76.2917,"D15","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
231,1,"1","female",35,1,0,83.475,"C83","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
257,1,"1","female",35,0,0,79.2,"","C",TRUE,"Sin cabina","adult","3","1","alone","alone","alone"
258,1,"1","female",30,0,0,86.5,"B77","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
259,1,"1","female",35,0,0,512.3292,"","C",FALSE,"Sin cabina","adult","3","1","alone","alone","alone"
269,1,"1","female",58,0,1,153.4625,"C125","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
270,1,"1","female",35,0,0,135.6333,"C99","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
276,1,"1","female",63,1,0,77.9583,"D7","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
291,1,"1","female",26,0,0,78.85,"","S",FALSE,"Sin cabina","adult","3","3","alone","alone","alone"
292,1,"1","female",19,1,0,91.0792,"B49","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
298,0,"1","female",2,1,2,151.55,"C22 C26","S",FALSE,"Con cabina","kid","3","3","sibs","parch","family"
300,1,"1","female",50,0,1,247.5208,"B58 B60","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
307,1,"1","female",35,0,0,110.8833,"","C",TRUE,"Sin cabina","adult","3","1","alone","alone","alone"
308,1,"1","female",17,1,0,108.9,"C65","C",FALSE,"Con cabina","teenager","3","1","sibs","alone","family"
310,1,"1","female",30,0,0,56.9292,"E36","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
311,1,"1","female",24,0,0,83.1583,"C54","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
312,1,"1","female",18,2,2,262.375,"B57 B59 B63 B66","C",FALSE,"Con cabina","teenager","3","1","sibs","parch","family"
319,1,"1","female",31,0,2,164.8667,"C7","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
320,1,"1","female",40,1,1,134.5,"E34","C",FALSE,"Con cabina","adult","3","1","sibs","parch","family"
326,1,"1","female",36,0,0,135.6333,"C32","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
330,1,"1","female",16,0,1,57.9792,"B18","C",FALSE,"Con cabina","teenager","2","1","alone","parch","family"
335,1,"1","female",31,1,0,133.65,"","S",TRUE,"Sin cabina","adult","3","3","sibs","alone","family"
338,1,"1","female",41,0,0,134.5,"E40","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
342,1,"1","female",24,3,2,263,"C23 C25 C27","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
357,1,"1","female",22,0,1,55,"E33","S",FALSE,"Con cabina","adult","2","3","alone","parch","family"
367,1,"1","female",60,1,0,75.25,"D37","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
370,1,"1","female",24,0,0,69.3,"B35","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
376,1,"1","female",35,1,0,82.1708,"","C",TRUE,"Sin cabina","adult","3","1","sibs","alone","family"
381,1,"1","female",42,0,0,227.525,"","C",FALSE,"Sin cabina","adult","3","1","alone","alone","alone"
384,1,"1","female",35,1,0,52,"","S",FALSE,"Sin cabina","adult","2","3","sibs","alone","family"
394,1,"1","female",23,1,0,113.275,"D36","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
413,1,"1","female",33,1,0,90,"C78","Q",FALSE,"Con cabina","adult","3","2","sibs","alone","family"
436,1,"1","female",14,1,2,120,"B96 B98","S",FALSE,"Con cabina","teenager","3","3","sibs","parch","family"
458,1,"1","female",48,1,0,51.8625,"D21","S",TRUE,"Con cabina","adult","2","3","sibs","alone","family"
487,1,"1","female",35,1,0,90,"C93","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
497,1,"1","female",54,1,0,78.2667,"D20","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
499,0,"1","female",25,1,2,151.55,"C22 C26","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
505,1,"1","female",16,0,0,86.5,"B79","S",FALSE,"Con cabina","teenager","3","3","alone","alone","alone"
514,1,"1","female",54,1,0,59.4,"","C",FALSE,"Sin cabina","adult","2","1","sibs","alone","family"
521,1,"1","female",30,0,0,93.5,"B73","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
524,1,"1","female",44,0,1,57.9792,"B18","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
538,1,"1","female",30,0,0,106.425,"","C",FALSE,"Sin cabina","adult","3","1","alone","alone","alone"
540,1,"1","female",22,0,2,49.5,"B39","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
541,1,"1","female",36,0,2,71,"B22","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
557,1,"1","female",48,1,0,39.6,"A16","C",FALSE,"Con cabina","adult","2","1","sibs","alone","family"
559,1,"1","female",39,1,1,79.65,"E67","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
572,1,"1","female",53,2,0,51.4792,"C101","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
578,1,"1","female",39,1,0,55.9,"E44","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
582,1,"1","female",39,1,1,110.8833,"C68","C",FALSE,"Con cabina","adult","3","1","sibs","parch","family"
586,1,"1","female",18,0,2,79.65,"E68","S",FALSE,"Con cabina","teenager","3","3","alone","parch","family"
592,1,"1","female",52,1,0,78.2667,"D20","C",FALSE,"Con cabina","adult","3","1","sibs","alone","family"
610,1,"1","female",40,0,0,153.4625,"C125","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
628,1,"1","female",21,0,0,77.9583,"D9","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
642,1,"1","female",24,0,0,69.3,"B35","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
670,1,"1","female",24,1,0,52,"C126","S",TRUE,"Con cabina","adult","2","3","sibs","alone","family"
690,1,"1","female",15,0,1,211.3375,"B5","S",FALSE,"Con cabina","teenager","3","3","alone","parch","family"
701,1,"1","female",18,1,0,227.525,"C62 C64","C",FALSE,"Con cabina","teenager","3","1","sibs","alone","family"
709,1,"1","female",22,0,0,151.55,"","S",FALSE,"Sin cabina","adult","3","3","alone","alone","alone"
711,1,"1","female",24,0,0,49.5042,"C90","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
717,1,"1","female",38,0,0,227.525,"C45","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
731,1,"1","female",29,0,0,211.3375,"B5","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
743,1,"1","female",21,2,2,262.375,"B57 B59 B63 B66","C",FALSE,"Con cabina","adult","3","1","sibs","parch","family"
760,1,"1","female",33,0,0,86.5,"B77","S",FALSE,"Con cabina","adult","3","3","alone","alone","alone"
764,1,"1","female",36,1,2,120,"B96 B98","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
766,1,"1","female",51,1,0,77.9583,"D11","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
780,1,"1","female",43,0,1,211.3375,"B3","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
782,1,"1","female",17,1,0,57,"B20","S",FALSE,"Con cabina","teenager","2","3","sibs","alone","family"
797,1,"1","female",49,0,0,25.9292,"D17","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
810,1,"1","female",33,1,0,53.1,"E8","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
821,1,"1","female",52,1,1,93.5,"B69","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
836,1,"1","female",39,1,1,83.1583,"E49","C",FALSE,"Con cabina","adult","3","1","sibs","parch","family"
843,1,"1","female",30,0,0,31,"","C",FALSE,"Sin cabina","adult","2","1","alone","alone","alone"
850,1,"1","female",39,1,0,89.1042,"C92","C",TRUE,"Con cabina","adult","3","1","sibs","alone","family"
854,1,"1","female",16,0,1,39.4,"D28","S",FALSE,"Con cabina","teenager","2","3","alone","parch","family"
857,1,"1","female",45,1,1,164.8667,"","S",FALSE,"Sin cabina","adult","3","3","sibs","parch","family"
863,1,"1","female",48,0,0,25.9292,"D17","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
872,1,"1","female",47,1,1,52.5542,"D35","S",FALSE,"Con cabina","adult","2","3","sibs","parch","family"
880,1,"1","female",56,0,1,83.1583,"C50","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
888,1,"1","female",19,0,0,30,"B42","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
